timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,lmax_vwap,sigma,lmax_vwmp (lower)
2021-02-24 10:00:00,0.0,50994.0,51068.9,50898.0,50939.96,8.99,458490.817,51000.09,51.24,50997.5
2021-02-24 10:05:00,0.0,50906.5,51042.5,50744.49,51015.0,27.92,1420237.36929,50868.1,64.34,50845.5
2021-02-24 10:10:00,0.0,50980.0,50980.0,50633.5,50701.5,5.13,260571.9978,50793.76,116.09,50641.5
2021-02-24 10:15:00,0.0,50663.5,50663.5,50390.0,50577.0,20.45,1032819.8088,50504.64,74.89,50565.5
2021-02-24 10:20:00,0.0,50526.0,50670.5,50212.5,50212.5,12.29,620374.9625,50478.03,128.92,50578.0
2021-02-24 10:25:00,0.0,50198.5,50568.5,50198.5,50568.5,18.0,907379.8589,50409.99,85.36,50423.0
2021-02-24 10:30:00,0.0,50473.0,50671.5,50444.5,50563.5,50.11,2534203.7931,50572.82,52.21,50581.5
2021-02-24 10:35:00,0.01,50519.43,50519.43,50273.0,50348.5,49.45,2489675.3227,50347.33,42.98,50326.0
2021-02-24 10:40:00,0.0,50370.5,50586.0,50370.5,50559.0,25.03,1263960.5150000001,50497.82,63.38,50425.5
2021-02-24 10:45:00,0.0,50564.93,50643.5,50511.0,50572.5,15.17,767031.8123,50562.41,31.51,50562.5
2021-02-24 10:50:00,0.0,50537.5,50593.5,50384.5,50384.5,18.92,955397.0646,50496.67,59.14,50549.5
2021-02-24 10:55:00,0.0,50370.5,50453.75,50127.5,50136.5,33.9,1704751.3572,50287.65,88.31,50312.0
2021-02-24 11:00:00,0.0,50160.5,50482.5,50152.63,50449.46,29.69,1494321.672,50330.81,84.21,50301.5
2021-02-24 11:05:00,0.0,50444.0,50653.5,50444.0,50535.0,38.63,1953628.0526,50572.82,34.45,50542.0
2021-02-24 11:10:00,0.0,50522.0,50624.0,50442.0,50442.0,12.99,656485.2616,50537.74,46.22,50557.5
2021-02-24 11:15:00,0.0,50431.5,50486.0,50291.0,50325.5,24.86,1252136.985,50367.54,51.08,50345.0
2021-02-24 11:20:00,0.01,50356.5,50879.5,50322.5,50879.5,43.41,2196392.9916,50596.48,146.3,50660.5
2021-02-24 11:25:00,0.0,50839.0,50910.5,50749.0,50769.0,35.2,1788531.2878,50810.55,27.62,50869.0
2021-02-24 11:30:00,0.0,50767.5,50885.5,50675.5,50688.0,15.96,809986.335,50751.02,50.36,50704.5
2021-02-24 11:35:00,0.0,50679.0,50752.5,50627.5,50634.0,50.72,2571026.825,50690.59,30.3,50699.5
2021-02-24 11:40:00,0.0,50645.0,50664.0,50374.5,50374.5,33.98,1715033.5563,50471.85,95.16,50558.5
2021-02-24 11:45:00,0.0,50397.5,50509.5,50304.0,50401.5,34.05,1715691.0685999999,50387.4,52.29,50345.5
2021-02-24 11:50:00,0.0,50388.0,50388.0,50220.0,50316.0,35.1,1765503.6432,50299.25,40.04,50290.5
2021-02-24 11:55:00,0.01,50312.5,50447.5,50312.5,50388.5,71.54,3603251.1815,50366.94,28.18,50363.0
2021-02-24 12:00:00,0.0,50397.1,50665.5,50393.0,50587.5,33.38,1687124.7851,50542.98,67.36,50585.0
2021-02-24 12:05:00,0.0,50613.0,50769.0,50512.0,50535.5,34.78,1763246.085,50697.13,74.19,50718.5
2021-02-24 12:10:00,0.0,50552.5,50838.0,50374.0,50838.0,27.38,1381735.5548,50465.14,154.68,50385.5
2021-02-24 12:15:00,0.01,50840.5,50994.0,50766.5,50773.5,78.96,4017043.3743000003,50874.41,61.89,50862.0
2021-02-24 12:20:00,0.01,50794.5,51144.0,50784.0,51106.0,75.45,3849446.5068,51019.83,95.71,51029.5
2021-02-24 12:25:00,0.01,51136.0,51201.0,50953.0,51171.5,35.29,1804747.2394,51140.47,57.46,51090.5
2021-02-24 12:30:00,0.01,51140.0,51268.5,51036.0,51251.5,60.79,3110031.019,51160.24,45.89,51107.5
2021-02-24 12:35:00,0.0,51244.5,51297.5,51101.0,51153.0,55.83,2858462.3616,51199.4,47.86,51210.0
2021-02-24 12:40:00,0.01,51119.0,51183.5,50900.84,50912.51,69.85,3565044.4649,51038.58,89.54,50922.5
2021-02-24 12:45:00,0.01,50926.0,51088.5,50891.5,51028.5,68.13,3472919.0486,50974.89,53.01,51007.0
2021-02-24 12:50:00,0.01,51040.5,51040.5,50816.57,50845.62,90.11,4586471.9276,50898.59,62.27,50965.0
2021-02-24 12:55:00,0.02,50849.99,50855.0,50643.0,50714.5,128.14,6504640.56622,50761.98,57.15,50756.0
2021-02-24 13:00:00,0.0,50788.0,51089.5,50788.0,50943.25,31.26,1592637.10694,50948.08,80.62,50881.5
2021-02-24 13:05:00,0.02,50946.5,50946.5,50459.5,50571.5,200.47,10144497.58119,50603.57,110.64,50532.0
2021-02-24 13:10:00,0.01,50556.0,50721.5,50367.5,50441.83,104.17,5263782.2719,50530.69,93.47,50507.5
2021-02-24 13:15:00,0.03,50439.0,50439.0,49550.25,49550.25,278.89,13923629.47069,49925.17,178.98,49848.5
2021-02-24 13:20:00,0.01,49620.0,49982.5,49475.5,49839.998,112.1,5574973.20922,49732.14,129.87,49536.0
2021-02-24 13:25:00,0.01,49824.5,49997.0,49530.0,49595.0,74.4,3701363.8866,49749.51,139.68,49825.0
2021-02-24 13:30:00,0.02,49723.0,49775.0,49045.0,49138.5,200.33,9881190.55799,49324.57,174.31,49593.0
