timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,krkn_vwap,sigma,krkn_vwmp (lower)
2021-02-24 09:35:00,0.01,50869.9,51235.0,50859.6,51235.0,25.35,1294586.518751724,51070.68,116.57,51168.4
2021-02-24 09:40:00,0.02,51250.0,51442.5,51133.9,51315.9,36.3,1860930.459995828,51263.54,78.59,51277.6
2021-02-24 09:45:00,0.04,51339.6,51369.9,51000.1,51014.6,49.43,2531336.037864864,51208.57,70.96,51206.5
2021-02-24 09:50:00,0.01,51003.3,51077.9,50924.7,50952.3,18.65,950375.571841509,50970.97,38.32,51012.1
2021-02-24 09:55:00,0.01,50952.2,50955.4,50899.9,50900.0,18.24,928556.499235044,50912.6,14.8,50905.9
2021-02-24 10:00:00,0.02,50900.0,51059.2,50899.9,50932.5,60.22,3067105.648586931,50927.67,44.6,50932.4
2021-02-24 10:05:00,0.02,50932.5,51052.4,50792.2,51028.2,15.91,810129.994195146,50921.51,75.82,50888.8
2021-02-24 10:10:00,0.01,51000.2,51000.2,50660.0,50700.1,21.02,1066671.381419939,50752.95,108.49,50770.9
2021-02-24 10:15:00,0.01,50700.1,50700.1,50443.9,50588.4,25.41,1285165.260761882,50579.96,52.9,50449.9
2021-02-24 10:20:00,0.02,50580.3,50704.5,50301.6,50304.3,23.17,1170467.563784371,50517.72,112.24,50525.1
2021-02-24 10:25:00,0.02,50301.8,50562.5,50188.7,50474.9,27.99,1410463.560472,50395.63,106.22,50251.0
2021-02-24 10:30:00,0.01,50474.8,50661.9,50474.3,50578.8,15.41,779211.77404032,50576.86,44.54,50550.0
2021-02-24 10:35:00,0.01,50578.7,50578.7,50299.0,50387.0,16.24,817990.1786751141,50371.56,60.63,50317.1
2021-02-24 10:40:00,0.01,50390.7,50614.5,50390.7,50589.1,18.56,938182.908448596,50555.96,62.6,50564.3
2021-02-24 10:45:00,0.01,50589.0,50619.0,50530.2,50565.5,8.41,424949.983558149,50556.81,24.97,50553.6
2021-02-24 10:50:00,0.01,50561.7,50600.0,50383.8,50393.5,5.32,268713.79133462603,50525.22,54.57,50500.4
2021-02-24 10:55:00,0.01,50408.1,50432.4,50150.0,50150.1,10.26,515413.899773545,50259.54,95.75,50169.6
2021-02-24 11:00:00,0.01,50150.6,50540.8,50150.6,50428.7,22.52,1135171.769476253,50414.05,94.97,50360.6
2021-02-24 11:05:00,0.01,50481.0,50632.6,50464.1,50535.6,12.78,646241.884953335,50568.26,34.64,50624.4
2021-02-24 11:10:00,0.01,50535.7,50601.3,50457.1,50470.5,11.69,590748.626595462,50535.64,43.6,50550.4
2021-02-24 11:15:00,0.01,50457.3,50500.3,50300.0,50346.5,19.69,993208.145392258,50447.18,54.73,50427.7
2021-02-24 11:20:00,0.01,50373.8,50883.5,50358.2,50871.5,13.7,692478.30684361,50558.62,181.38,50835.8
2021-02-24 11:25:00,0.01,50871.4,50909.5,50738.8,50770.0,11.31,574812.429223695,50817.75,41.31,50765.5
2021-02-24 11:30:00,0.01,50769.2,50885.4,50674.9,50690.2,12.69,644155.083303573,50749.9,54.86,50788.7
