timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,all_vwap,sigma,all_vwmp (upper)
2021-02-24 10:20:00,0.22,50565.5,50792.58,50171.0,50262.43,304.28,15366022.996730033,50499.0,143.61,50610.2
2021-02-24 10:25:00,0.19,50254.99,50575.29,50052.0,50474.9,284.79,14351351.023520371,50393.36,137.4,50251.0
2021-02-24 10:30:00,0.14,50442.21,50671.5,50345.0,50526.86,252.87,12777968.423320992,50531.8,75.17,50652.87
2021-02-24 10:35:00,0.15,50534.22,50578.7,50162.0,50377.946,177.25,8923821.624422891,50344.59,72.67,50312.68
2021-02-24 10:40:00,0.1,50361.3,50614.5,50265.0,50450.0,131.17,6623092.074708965,50491.72,81.62,50501.05
2021-02-24 10:45:00,0.09,50579.91,50647.75,50407.0,50549.66,148.97,7527462.068859222,50528.63,52.72,50550.6
2021-02-24 10:50:00,0.13,50540.0,50611.92,50250.0,50407.68,113.1,5709917.761316429,50486.69,94.28,50600.0
2021-02-24 10:55:00,0.2,50413.63,50460.16,50050.0,50150.1,239.2,12022513.485846141,50260.48,103.09,50158.3
2021-02-24 11:00:00,0.14,50127.96,50545.44,50057.0,50453.6,180.64,9093692.20837646,50342.9,100.55,50231.77
2021-02-24 11:05:00,0.12,50469.61,50653.5,50350.0,50530.32,146.9,7422701.180602823,50529.46,50.72,50546.9
2021-02-24 11:10:00,0.11,50526.66,50628.01,50350.0,50443.75,121.77,6151169.414086514,50516.47,55.78,50599.6
2021-02-24 11:15:00,0.12,50453.12,50500.761,50208.0,50347.44,142.09,7159363.454307473,50387.44,68.55,50372.8
2021-02-24 11:20:00,0.19,50358.18,50928.0,50277.0,50861.17,165.14,8353315.404358779,50583.77,159.54,50773.66
2021-02-24 11:25:00,0.1,50869.28,50957.67,50658.0,50777.86,120.77,6134619.0752426535,50795.85,50.13,50837.75
2021-02-24 11:30:00,0.11,50777.86,50903.97,50594.0,50697.49,104.27,5291123.4270691695,50744.58,61.57,50720.39
2021-02-24 11:35:00,0.1,50686.49,50790.249,50574.0,50625.91,132.63,6721617.674782473,50681.35,39.59,50686.13
2021-02-24 11:40:00,0.17,50640.42,50715.528,50315.59,50400.25,208.71,10536304.656848101,50483.17,96.68,50532.9
2021-02-24 11:45:00,0.09,50386.23,50522.39,50275.0,50389.34,117.3,5911626.115649567,50397.04,52.43,50400.0
2021-02-24 11:50:00,0.13,50385.22,50434.55,50200.0,50337.25,146.43,7367435.095381643,50313.07,49.71,50366.0
2021-02-24 11:55:00,0.08,50328.87,50447.5,50275.0,50380.0,141.77,7139984.068159805,50363.97,28.7,50392.2
2021-02-24 12:00:00,0.14,50379.99,50665.5,50337.0,50556.0,148.95,7523248.046681964,50509.81,73.59,50599.4
2021-02-24 12:05:00,0.16,50603.66,50807.55,50450.0,50531.39,192.77,9762027.94175434,50641.77,75.45,50738.2
2021-02-24 12:10:00,0.17,50557.5,50877.05,50324.99,50826.97,124.34,6288475.850371366,50573.75,143.38,50758.39
2021-02-24 12:15:00,0.17,50850.0,50994.0,50711.0,50772.5,264.72,13461465.762970025,50852.43,55.7,50912.0
2021-02-24 12:20:00,0.28,50768.61,51204.03,50516.28,51127.27,423.73,21605886.79355381,50989.92,96.42,50949.07
2021-02-24 12:25:00,0.2,51122.21,51227.0,50858.14,51132.5,327.65,16740313.52506446,51091.79,58.25,51020.39
2021-02-24 12:30:00,0.21,51162.91,51287.66,50985.0,51249.9,322.39,16488250.045339001,51144.41,54.34,51218.9
2021-02-24 12:35:00,0.16,51279.51,51364.74,51007.0,51195.26,267.24,13681105.02919881,51194.24,59.66,51136.3
2021-02-24 12:40:00,0.16,51213.45,51236.81,50829.0,50906.76,293.29,14971721.479351172,51046.66,94.61,50931.0
2021-02-24 12:45:00,0.13,50899.0,51101.04,50860.0,51032.74,251.92,12841219.701577783,50974.07,56.46,51000.0
2021-02-24 12:50:00,0.15,51032.74,51076.42,50771.0,50849.99,256.68,13069883.328491747,50918.21,74.53,50874.4
2021-02-24 12:55:00,0.2,50850.0,50911.659,50603.0,50746.3,379.5,19264224.84963006,50761.62,63.46,50676.4
2021-02-24 13:00:00,0.17,50738.3,51123.31,50715.0,50972.5,257.34,13110351.028660672,50946.42,95.64,50825.0
2021-02-24 13:05:00,0.28,50972.5,50984.79,50459.5,50571.5,597.76,30255595.75284236,50615.16,96.7,50600.0
2021-02-24 13:10:00,0.2,50566.01,50749.42,50367.5,50441.83,369.38,18666176.47401352,50534.39,81.72,50462.5
2021-02-24 13:15:00,0.66,50440.0,50480.0,49522.74,49684.376,1312.24,65500895.84705679,49915.31,204.8,50000.0
2021-02-24 13:20:00,0.35,49567.52,50019.53,49329.0,49834.71,690.01,34288121.83813873,49692.09,154.72,49958.4
2021-02-24 13:25:00,0.25,49839.01,50007.44,49508.0,49621.93,417.94,20819048.06798358,49813.69,125.72,49757.9
2021-02-24 13:30:00,0.54,49620.0,49817.68,48940.12,49200.25,1073.71,52934703.16056888,49300.96,179.24,49324.5
2021-02-24 13:35:00,0.3,49124.84,49580.254,49096.06,49227.09,577.64,28500418.441247247,49339.77,96.45,49451.22
2021-02-24 13:40:00,0.19,49256.56,49578.01,49235.0,49455.0,357.88,17691803.730266046,49435.32,61.16,49446.7
2021-02-24 13:45:00,0.26,49473.44,49898.5,49276.5,49745.18,383.74,19027037.68514599,49582.95,172.81,49699.0
2021-02-24 13:50:00,0.14,49745.19,49788.35,49472.5,49666.0,201.39,9996875.881807186,49640.05,74.96,49703.91
2021-02-24 13:55:00,0.19,49660.54,49662.662,49333.5,49479.41,279.14,13811241.943321679,49477.09,57.61,49485.0
2021-02-24 14:00:00,0.18,49480.2,49811.25,49479.4,49776.92,215.09,10683069.985033244,49668.58,66.55,49678.2
2021-02-24 14:05:00,0.24,49757.36,49796.76,49256.0,49338.54,214.87,10637059.797984,49504.68,145.93,49412.4
2021-02-24 14:10:00,0.24,49359.09,49476.099,49100.7,49434.83,249.98,12318814.858186638,49278.63,76.61,49345.0
2021-02-24 14:15:00,0.17,49415.0,49677.5,49287.49,49622.75,199.71,9882666.293189127,49485.39,92.07,49449.4
2021-02-24 14:20:00,0.14,49637.0,49670.309,49357.0,49420.5,193.58,9588794.174011257,49534.52,64.98,49449.4
2021-02-24 14:25:00,0.15,49412.31,49554.48,49253.0,49492.97,190.37,9410376.555870004,49431.42,56.18,49386.8
2021-02-24 14:30:00,0.22,49483.59,49713.864,49350.0,49380.43,303.42,15027960.363159658,49529.14,89.67,49430.1
2021-02-24 14:35:00,0.24,49375.14,49438.5,49092.3,49344.89,351.7,17331333.520968225,49279.37,70.99,49201.0
2021-02-24 14:40:00,0.44,49336.69,49409.878,48691.6,48763.07,628.88,30819208.126095545,49006.11,162.39,48975.8
2021-02-24 14:45:00,0.27,48777.01,49284.98,48730.24,49187.77,501.2,24578614.055350274,49039.41,118.22,49200.0
2021-02-24 14:50:00,0.22,49177.75,49219.0,48890.36,49043.12,380.9,18688219.380100813,49063.81,69.68,49069.9
2021-02-24 14:55:00,0.22,49045.15,49473.15,49035.07,49427.61,386.4,19029346.719970427,49247.74,109.78,49149.8
2021-02-24 15:00:00,0.24,49430.41,49670.727,49361.0,49512.38,280.98,13917876.829882711,49532.8,64.99,49615.1
2021-02-24 15:05:00,0.18,49530.92,49546.0,49123.7,49194.17,191.35,9445016.865441544,49360.96,99.02,49236.0
2021-02-24 15:10:00,0.27,49198.52,49221.136,48837.86,48935.05,286.26,14031582.892480101,49016.78,83.3,49000.0
2021-02-24 15:15:00,0.31,48940.33,49143.999,48655.0,48712.39,368.07,17990169.56092453,48876.6,109.44,48773.04
2021-02-24 15:20:00,0.45,48720.0,48896.9,48350.0,48834.5,650.7,31617151.739269223,48589.3,88.62,48555.0
2021-02-24 15:25:00,0.24,48826.37,49252.929,48773.39,49178.48,299.8,14700064.906626813,49032.95,103.69,49118.7
2021-02-24 15:30:00,0.23,49171.11,49406.76,48883.1808809,49300.72,373.64,18380045.572735537,49191.7,106.23,49341.96
2021-02-24 15:35:00,0.24,49300.72,49632.09,49273.50000057,49417.82,357.34,17693044.588506784,49513.34,68.46,49484.2
2021-02-24 15:40:00,0.21,49416.8,49460.0,49136.0,49277.63,364.64,17983727.81954881,49319.08,67.61,49350.0
2021-02-24 15:45:00,0.26,49282.56,49753.3,49242.0,49516.62,295.09,14621935.35317665,49550.75,98.48,49610.3
2021-02-24 15:50:00,0.15,49497.88,49666.23,49493.23,49573.0,176.73,8761997.951527545,49578.17,29.61,49552.0
2021-02-24 15:55:00,0.25,49574.38,49916.8,49555.0,49850.22,324.66,16159390.56990925,49773.6,84.56,49618.0
2021-02-24 16:00:00,0.34,49847.54,50314.08,49759.0,49899.0743244,474.43,23712224.207530208,49980.12,83.75,49999.6
2021-02-24 16:05:00,0.22,49890.37,50036.72,49757.0,49887.7,338.62,16899189.42494582,49905.8,63.83,49814.6
2021-02-24 16:10:00,0.17,49845.73226244,49935.19,49620.0,49762.0,299.91,14920739.416059215,49750.52,52.74,49736.0
2021-02-24 16:15:00,0.15,49750.0,49849.019,49551.0,49599.49,184.85,9181989.329032203,49673.12,45.42,49650.0
2021-02-24 16:20:00,0.22,49597.29,49877.72,49365.0,49554.63,259.81,12890434.006689806,49614.22,116.63,49477.09
2021-02-24 16:25:00,0.13,49568.98,49679.999,49450.0,49510.21,123.84,6138580.5915652625,49569.12,49.8,49586.7
2021-02-24 16:30:00,0.14,49536.01,49821.319,49472.96,49685.0,177.45,8812116.645208182,49660.42,79.85,49515.5
2021-02-24 16:35:00,0.15,49691.91,49907.16,49647.0,49750.0,147.5,7342133.459357008,49777.02,44.98,49815.0
2021-02-24 16:40:00,0.12,49751.94,49791.5,49571.044818,49625.57,119.93,5955751.47944709,49661.08,38.68,49698.6
