timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,stmp_vwap,sigma,stmp_vwmp (upper)
2021-02-24 11:45:00,0.01,50386.23,50488.06,50299.39,50377.68,15.09,760599.9463688905,50404.06,40.21,50385.93
2021-02-24 11:50:00,0.01,50388.49,50433.89,50220.72,50314.07,16.08,809158.7980479411,50322.31,40.83,50288.0
2021-02-24 11:55:00,0.0,50320.11,50396.43,50320.11,50381.65,11.6,584148.6233895078,50364.43,19.74,50340.02
2021-02-24 12:00:00,0.0,50408.26,50639.0,50364.29,50603.65,7.72,390049.8248466899,50516.33,75.98,50600.0
2021-02-24 12:05:00,0.01,50608.04,50757.79,50490.0,50506.61,15.73,796662.3897541959,50646.12,78.45,50621.01
2021-02-24 12:10:00,0.01,50490.0,50839.0,50390.0,50825.95,6.49,328802.4253404905,50637.55,143.58,50758.39
2021-02-24 12:15:00,0.01,50850.0,50976.42,50740.0,50768.61,43.06,2189932.1626400505,50852.9,58.64,50831.23
2021-02-24 12:20:00,0.01,50768.61,51147.0,50768.61,51123.4,62.91,3207432.5651679067,50981.6,108.53,50824.93
2021-02-24 12:25:00,0.01,51145.58,51203.95,50965.47,51119.17,25.84,1320382.1115696898,51104.68,55.28,51020.39
2021-02-24 12:30:00,0.01,51137.52,51274.41,51023.87,51274.4,25.52,1306090.9894294143,51169.27,64.35,51248.31
2021-02-24 12:35:00,0.01,51280.44,51310.99,51087.17,51195.4,26.25,1343441.868655181,51187.3,54.5,51292.65
2021-02-24 12:40:00,0.01,51213.45,51213.45,50900.0,50908.57,45.47,2321502.973824837,51056.73,93.75,51161.29
2021-02-24 12:45:00,0.01,50899.0,51090.18,50899.0,51018.21,39.73,2025705.4214583735,50988.79,54.54,51013.95
2021-02-24 12:50:00,0.01,51025.9,51043.34,50805.74,50847.48,33.52,1707762.2692411125,50953.5,65.41,50947.43
2021-02-24 12:55:00,0.02,50850.0,50850.0,50620.44,50709.43,58.18,2953539.3973191464,50762.14,55.87,50725.65
2021-02-24 13:00:00,0.02,50745.92,51100.0,50745.92,50963.07,79.02,4023949.217592084,50920.42,86.57,50908.52
2021-02-24 13:05:00,0.02,50924.23,50936.98,50521.0,50556.81,73.52,3722088.188795057,50627.52,81.64,50590.03
2021-02-24 13:10:00,0.01,50566.01,50740.07,50390.0,50441.83,55.91,2827099.671955648,50566.34,90.3,50467.64
2021-02-24 13:15:00,0.03,50399.0,50407.44,49543.86,49546.29,121.7,6073762.038972806,49906.9,184.34,49686.93
2021-02-24 13:20:00,0.01,49567.52,49969.39,49500.0,49837.35,30.96,1539696.9558476564,49737.69,155.15,49522.08
2021-02-24 13:25:00,0.01,49868.49,49986.45,49557.55,49606.85,25.31,1259806.4205759258,49778.06,113.7,49575.01
2021-02-24 13:30:00,0.03,49620.0,49769.36,49050.0,49143.49,127.59,6286224.047555486,49270.81,155.67,49634.81
2021-02-24 13:35:00,0.02,49124.84,49522.91,49124.84,49256.56,103.92,5133977.70096287,49402.33,109.55,49248.84
2021-02-24 13:40:00,0.01,49256.56,49549.69,49248.98,49473.44,21.56,1065625.610299471,49432.58,63.95,49287.0
2021-02-24 13:45:00,0.01,49473.44,49863.23,49321.9,49782.18,33.92,1680240.0707113314,49532.82,167.31,49789.87
2021-02-24 13:50:00,0.0,49755.57,49773.5,49524.5,49636.0,10.3,511508.1734212965,49666.8,68.12,49701.19
2021-02-24 13:55:00,0.01,49660.54,49660.54,49369.15,49494.86,26.98,1334841.8405823912,49469.78,50.64,49495.05
2021-02-24 14:00:00,0.01,49519.1,49787.02,49519.1,49763.97,27.99,1390314.6302830162,49673.93,64.76,49519.1
2021-02-24 14:05:00,0.01,49757.36,49758.03,49277.53,49359.1,15.25,755850.8782881737,49578.04,153.97,49674.56
2021-02-24 14:10:00,0.01,49359.09,49458.54,49100.7,49404.0,20.1,989456.5644530572,49226.87,89.73,49288.89
2021-02-24 14:15:00,0.01,49416.9,49650.0,49316.4,49637.0,26.44,1308497.2901484892,49497.77,85.99,49622.45
2021-02-24 14:20:00,0.01,49637.0,49637.0,49379.66,49433.63,18.59,920739.7454160012,49535.22,59.35,49408.63
2021-02-24 14:25:00,0.01,49445.89,49539.4,49318.57,49487.9,7.97,394196.4897223579,49437.02,44.91,49442.18
2021-02-24 14:30:00,0.01,49506.05,49664.18,49350.0,49396.77,61.79,3062665.1795665557,49563.2,90.48,49539.4
2021-02-24 14:35:00,0.02,49375.14,49405.95,49143.38,49336.91,76.34,3761472.573189501,49274.52,60.5,49369.95
2021-02-24 14:40:00,0.03,49336.69,49351.76,48729.36,48782.49,70.77,3471611.219513658,49051.54,153.19,48832.43
2021-02-24 14:45:00,0.02,48777.01,49241.4,48753.67,49190.04,110.86,5435262.61378506,49029.49,127.93,48840.77
2021-02-24 14:50:00,0.01,49177.75,49192.3,48890.36,49055.27,75.53,3705434.327690809,49057.55,72.43,48981.6
2021-02-24 14:55:00,0.01,49080.97,49448.76,49035.07,49432.76,69.02,3393432.9252976323,49163.72,101.56,49313.61
2021-02-24 15:00:00,0.01,49430.41,49643.07,49388.51,49505.21,21.48,1063858.0098779174,49537.21,66.65,49568.04
2021-02-24 15:05:00,0.01,49530.92,49530.92,49165.41,49170.0,14.98,739298.9294691504,49363.12,106.86,49194.52
2021-02-24 15:10:00,0.01,49198.52,49198.52,48837.86,48947.79,19.59,959604.6746468137,48995.14,74.5,48975.72
2021-02-24 15:15:00,0.01,48940.33,49130.44,48655.0,48777.39,44.78,2189012.641232464,48880.78,98.32,48773.04
2021-02-24 15:20:00,0.02,48720.0,48874.64,48488.51,48833.63,48.01,2333667.9750826876,48612.14,78.97,48664.99
2021-02-24 15:25:00,0.01,48773.39,49227.17,48773.39,49181.8,17.78,871572.3401381455,49027.09,105.92,48941.85
2021-02-24 15:30:00,0.01,49171.11,49378.85,49000.08,49310.48,33.72,1660621.1939822591,49246.55,97.87,49166.47
2021-02-24 15:35:00,0.01,49306.35,49595.87,49301.89,49432.05,9.53,471370.2602383936,49459.93,72.19,49423.12
2021-02-24 15:40:00,0.01,49416.8,49427.94,49170.0,49247.78,45.03,2220840.7049658326,49314.29,66.43,49333.11
2021-02-24 15:45:00,0.01,49282.56,49728.25,49267.53,49515.0,32.87,1629377.8309888255,49573.1,86.02,49583.19
2021-02-24 15:50:00,0.01,49515.0,49657.67,49514.91,49584.44,15.29,758108.7166179754,49597.05,32.45,49515.0
2021-02-24 15:55:00,0.01,49574.38,49884.52,49574.38,49847.54,36.04,1792833.6110088117,49748.5,103.53,49832.69
2021-02-24 16:00:00,0.01,49847.54,50155.0,49809.21,49927.01,34.68,1733532.2814407898,49991.24,86.38,50000.0
2021-02-24 16:05:00,0.01,49890.37,50010.33,49788.34,49875.97,35.77,1784532.240996961,49894.03,62.31,49973.98
