timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,okcn_vwap,sigma,okcn_vwmp (upper)
2021-02-24 15:05:00,0.0,49534.25,49534.25,49208.74,49212.15,1.22,60262.887773999995,49412.01,89.83,49465.48
2021-02-24 15:10:00,0.0,49141.55,49166.07,48879.71,48999.4,3.47,170062.990166,49015.16,64.04,49084.0
2021-02-24 15:15:00,0.0,48913.25,49104.49,48693.43,48769.5,2.22,108267.41643099999,48817.48,100.35,48871.39
2021-02-24 15:20:00,0.0,48709.45,48787.79,48509.32,48787.79,10.33,502236.927644,48633.38,54.81,48720.53
2021-02-24 15:25:00,0.0,48825.83,49208.49,48825.83,49177.27,3.23,158639.722494,49114.47,106.91,49184.35
2021-02-24 15:30:00,0.0,49183.8,49406.76,49106.18,49289.84,0.94,46413.536456,49229.46,74.38,49289.84
2021-02-24 15:35:00,0.0,49288.2,49585.81,49288.2,49451.42,0.89,43933.474383,49496.93,68.29,49369.37
2021-02-24 15:40:00,0.0,49377.55,49409.69,49155.98,49292.48,2.56,126191.05717800002,49312.64,59.67,49225.63
2021-02-24 15:45:00,0.0,49385.81,49753.3,49385.81,49548.51,21.32,1057993.822348,49636.12,79.65,49647.89
2021-02-24 15:50:00,0.0,49563.66,49655.49,49506.87,49617.6,1.15,56840.214014,49577.16,31.95,49576.9
2021-02-24 15:55:00,0.0,49585.16,49881.16,49585.16,49832.52,1.22,60964.958675,49791.7,52.68,49869.63
2021-02-24 16:00:00,0.01,49887.05,50164.28,49818.56,49937.14,10.27,513759.016196,50006.72,68.84,50059.83
2021-02-24 16:05:00,0.01,49920.61,50021.27,49805.26,49902.18,4.35,217016.29976,49928.98,63.12,49907.04
2021-02-24 16:10:00,0.0,49920.26,49920.26,49700.11,49736.49,3.73,185667.67525,49791.54,49.88,49771.65
2021-02-24 16:15:00,0.0,49779.28,49779.28,49584.75,49614.87,4.38,217759.269445,49680.43,52.75,49720.77
2021-02-24 16:20:00,0.0,49613.65,49855.64,49471.26,49552.77,2.87,142560.76380400002,49696.98,107.86,49721.72
2021-02-24 16:25:00,0.0,49573.14,49661.79,49497.23,49521.11,1.0,49572.17075600001,49592.01,38.7,49497.23
2021-02-24 16:30:00,0.0,49539.69,49743.36,49515.65,49691.89,1.83,90761.476829,49582.89,73.4,49612.17
2021-02-24 16:35:00,0.0,49681.99,49887.59,49681.99,49767.84,0.34,17029.584523,49779.55,55.15,49786.04
2021-02-24 16:40:00,0.0,49751.74,49751.74,49639.11,49639.11,0.3,14753.022293000002,49673.48,28.98,49694.11
2021-02-24 16:45:00,0.0,49635.51,49687.51,49560.38,49676.9,0.44,21863.659710000004,49622.47,33.72,49587.73
2021-02-24 16:50:00,0.0,49629.4,49809.68,49559.51,49576.9,1.92,95296.702308,49711.37,69.95,49629.4
2021-02-24 16:55:00,0.0,49567.0,49622.53,49355.08,49400.36,0.46,22610.306104,49475.51,85.88,49425.57
2021-02-24 17:00:00,0.0,49407.81,49657.12,49364.96,49641.29,1.18,58205.25778100001,49494.27,101.31,49606.14
2021-02-24 17:05:00,0.0,49660.08,50004.3,49590.72,49969.72,0.38,19039.767288,49751.16,140.81,49969.72
2021-02-24 17:10:00,0.0,49956.07,49993.3,49759.58,49802.92,0.79,39641.34654,49894.71,74.23,49802.92
2021-02-24 17:15:00,0.0,49875.81,49935.88,49816.37,49881.03,1.72,85755.29413,49869.33,27.38,49865.26
2021-02-24 17:20:00,0.0,49864.66,49979.91,49853.3,49903.99,0.44,21799.303933,49918.26,30.76,49903.99
2021-02-24 17:25:00,0.0,49877.29,49907.41,49744.76,49744.76,0.44,22086.225777,49856.04,51.61,49744.76
2021-02-24 17:30:00,0.0,49756.84,49916.71,49664.32,49664.32,1.33,65919.28262,49705.39,76.97,49773.96
2021-02-24 17:35:00,0.0,49708.15,49870.55,49674.31,49832.67,1.32,65556.73972,49705.62,61.12,49679.67
2021-02-24 17:40:00,0.0,49781.97,49928.38,49756.98,49892.96,2.02,100718.181309,49860.49,41.24,49860.1
2021-02-24 17:45:00,0.0,49889.13,49939.33,49797.69,49806.7,0.39,19289.313454,49881.86,46.9,49806.7
2021-02-24 17:50:00,0.0,49843.0,49879.79,49814.92,49833.75,4.5,224242.811135,49819.56,16.56,49854.03
2021-02-24 17:55:00,0.0,49846.84,50096.73,49846.84,50096.73,2.13,106361.007003,49993.42,73.07,50012.04
2021-02-24 18:00:00,0.0,50118.14,50171.79,49985.95,50044.57,2.41,120734.702787,50060.0,48.62,50017.57
2021-02-24 18:05:00,0.0,49998.6,49998.6,49769.58,49882.55,2.57,128282.236057,49849.32,58.61,49814.52
2021-02-24 18:10:00,0.0,49931.51,49934.88,49661.0,49716.8,2.02,100583.78760299999,49725.03,75.71,49931.51
2021-02-24 18:15:00,0.0,49709.87,49802.28,49598.24,49602.43,1.2,59760.712939000005,49721.87,71.13,49738.58
2021-02-24 18:20:00,0.0,49592.91,49612.54,49569.8,49611.41,1.65,81595.44472300001,49593.05,11.67,49593.67
2021-02-24 18:25:00,0.0,49671.63,49755.88,49658.05,49702.31,0.61,30228.986846000003,49702.38,31.91,49702.31
2021-02-24 18:30:00,0.0,49717.85,49957.25,49717.85,49948.53,0.89,44471.354241,49844.6,65.01,49936.19
